country_iso2,sector,pd,net_profit_margin,debt_equity_ratio,volatility
IL,Oil&Gas,4.40035e-4,0.17226242,0.097473535,0.278635405
IL,Power,4.40035e-4,0.09040969,0.1144753125,0.28807023125
IM,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
IN,Automotive,3.2361e-4,0.049709925,0.112091215,0.27290464
IN,Coal,3.612275e-4,0.08154,0.07939538,0.3568402075
IN,Oil&Gas,1.8441e-4,0.0632249,0.12771637,0.23984724
IN,Power,3.61605e-4,0.07192025,0.0744005,0.351044575
IN,Steel,4.05845e-4,0.071549325,0.0922687,0.3568402075
IQ,Oil&Gas,3.8466e-4,0.1511289,0.097473535,0.278635405
IQ,Power,4.0082e-4,0.1045378,0.11441915,0.289695265
IQ,Steel,1.4532625e-4,0.223767925,0.058441564999999994,0.24364665624999998
IR,Automotive,3.2361e-4,0.048273709375,0.10810519,0.27290464
IR,Coal,0.00100742,0.29811665,0.25862399,0.251270925
IR,Oil&Gas,3.8466e-4,0.2635113,0.05576412,0.31424366
IR,Power,4.40035e-4,0.1045378,0.11441915,0.289695265
IR,Steel,4.709e-5,0.2635113,0.03978237,0.22829712
IS,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
IT,Automotive,3.281375e-4,0.049479075,0.108934235,0.27290464
IT,Oil&Gas,5.2095e-4,0.08101354,0.12093569,0.27290464
IT,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
IT,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
JM,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
JO,Oil&Gas,3.8466e-4,0.2635113,0.05576412,0.31424366
JO,Power,4.40035e-4,0.0858233375,0.11441915,0.2826570625
JP,Automotive,3.2499250000000003e-4,0.049479075,0.11240379750000001,0.27286845499999995
JP,Coal,3.6483e-4,0.10578785,0.104402455,0.31671155
JP,Oil&Gas,2.8048625e-4,0.0581042,0.11836573,0.24926929125
JP,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
JP,Steel,2.53e-4,0.0483934,0.1070828675,0.26753675
KE,Automotive,3.2361e-4,0.0477565,0.10810519,0.27279758
KE,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
KG,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
KG,Oil&Gas,5.3307e-4,0.2043745,0.11068338,0.38363029
KG,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
KH,Coal,3.6483e-4,0.10578785,0.104402455,0.31671155
KH,Oil&Gas,2.4568e-4,0.0581042,0.12093569,0.2360043
KH,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
KP,Coal,2.4227e-4,0.0483934,0.104402455,0.26753675
KP,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
KP,Steel,2.4227e-4,0.0483934,0.104402455,0.26753675
KR,Automotive,3.2361e-4,0.0516698,0.11253567,0.27269052
KR,Coal,3.6483e-4,0.10578785,0.104402455,0.31671155
KR,Oil&Gas,3.8466e-4,0.08101354,0.11939995,0.27561886
KR,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
KR,Steel,2.7395e-4,0.051416775,0.0606250225,0.270220695
